10
4, 0
10, 6
10, 5
6, 12
6, 0
14, 4
11, 7
10, 15
0, 13
6, 15

tasks
50
10, 2
11, 7
6, 6
15, 11
12, 3
6, 8
8, 9
4, 13
6, 14
13, 15
10, 10
8, 14
15, 8
1, 1
15, 14
7, 6
6, 11
0, 11
8, 7
15, 10
7, 1
8, 10
10, 6
11, 1
12, 14
10, 7
7, 5
12, 2
9, 13
11, 3
3, 0
15, 7
13, 3
2, 3
5, 14
4, 14
6, 1
5, 4
3, 13
2, 0
7, 14
12, 5
10, 5
4, 0
6, 4
5, 15
14, 9
12, 15
13, 11
7, 12

temporal
20
36, 45
27, 0
11, 9
15, 48
15, 12
33, 42
0, 14
4, 44
9, 46
33, 22
32, 25
31, 38
28, 1
1, 0
33, 21
28, 29
32, 11
41, 15
27, 42
3, 41
