10 # num of agents
# Format:  num_of_goals sx sy g1x g1y g2x g2y ...
5	8	7	3	1	7	4	2	0	5	13	10	10
3	12	10	8	15	5	11	6	2
1	12	3	13	13
4	10	7	0	9	8	0	2	2	11	15
4	8	6	4	3	14	8	12	4	9	15
4	0	3	7	2	6	15	11	13	11	10
4	1	0	7	11	14	11	0	5	4	0
1	6	10	7	0
6	0	2	14	13	13	14	10	11	5	2	2	9	10	3
1	0	15	15	5
temporal cons:
8	0	6	3
3	1	6	2
8	5	3	2
8	4	0	1
0	2	9	0
4	2	0	3
6	3	3	2
0	2	6	2
1	2	6	1
0	2	4	0
3	3	4	1
3	0	1	2
6	0	5	3
9	0	4	0
5	2	8	0
7	0	3	3
0	0	3	0
6	3	7	0
2	0	8	2
8	4	1	2
6	0	0	1
0	0	6	0
3	2	5	3
3	2	4	0
5	1	3	1
5	3	4	1
6	1	3	1
8	4	1	1
0	1	1	1
5	2	1	0
